"id","name","气血","循环","毒素","血脂","寒湿","免疫","情绪"
"1","记忆力下降","@","@","@","@","","",""
"2","思维断电","@","@","@","@","","",""
"3","反应迟钝","@","@","@","@","@","",""
"4","嗜睡","@","@","@","@","@","",""
"5","多梦","@","@","@","@","","","@"
"6","头晕","@","@","@","@","","@","@"
"7","头疼","@","@","@","@","@","@","@"
"8","头麻","@","@","@","@","@","","@"
"9","晕车","@","","@","","","","@"
"10","失眠","","","@","","","","@"
"11","头面油腻","","","","@","@","",""
"12","脱发","@","@","","@","","@","@"
"13","头发稀少","@","@","","@","","","@"
"14","易打哈欠","@","@","@","@","@","",""
"15","常叹气","@","@","@","","","","@"
"16","眼干涩","@","@","","","","",""
"17","眼痒","@","@","@","@","","@",""
"18","眼痛","@","@","@","@","","@",""
"19","视力模糊","@","@","@","@","","",""
"20","眼屎多","","","@","@","","",""
"21","眼怕光流泪","","","@","@","","@",""
"22","麦粒肿","","","","@","","",""
"23","听力下降","@","@","","@","","","@"
"24","耳痒","@","@","@","@","","@",""
"25","耳鸣","@","@","@","@","","","@"
"26","耳痛","@","@","@","@","","@",""
"27","耳屎多","","","@","@","","",""
"28","耳内潮湿","","","@","","@","@",""
"29","打鼾","@","@","@","@","","",""
"30","鼻塞","","@","","@","@","@",""
"31","爱打喷嚏","","","@","","@","@",""
"32","常流鼻涕","","","","","@","@",""
"33","鼻炎","","@","","","@","@",""
"34","感冒时间长","@","@","","","@","@","@"
"35","嗓子干","@","@","@","","","",""
"36","喉咙痒","@","@","@","","@","@",""
"37","喉咙痛","@","@","","","@","@","@"
"38","咳嗽","","","","","@","@",""
"39","痰多","","","","","@","@",""
"40","呼吸困难","@","@","","","@","@",""
"41","口苦","","","@","@","","",""
"42","口干","","@","@","@","","",""
"43","口臭","","@","@","@","","",""
"44","口溃疡","@","@","@","@","@","@","@"
"45","舌溃疡","@","@","@","@","","@","@"
"46","嘴唇麻","@","@","@","@","","",""
"47","舌硬","","@","@","@","","",""
"48","胸闷气短","@","@","@","@","@","","@"
"49","心慌心悸","@","@","@","@","@","","@"
"50","心绞痛","@","@","@","@","@","","@"
"51","指甲凹陷","@","@","","","","",""
"52","半月痕少","@","@","","","","",""
"53","手脚脱皮","@","@","","","","@",""
"54","手脚出汗","","","","","@","",""
"55","手脚凉","@","@","","","@","",""
"56","手脚热","","","@","@","@","",""
"57","手足麻木","@","@","","@","@","",""
"58","四肢乏力","@","@","","@","","",""
"59","静脉曲张","@","@","@","@","@","@",""
"60","关节痛","@","@","","","@","@",""
"61","肩酸痛","@","@","","","@","@",""
"62","颈椎痛","@","@","","","@","@",""
"63","腰酸痛","@","@","","","@","@",""
"64","尿浑浊","","","@","@","","",""
"65","尿多沫","","","@","@","","",""
"66","尿有怪味","","","@","@","","",""
"67","夜尿多","@","@","","@","@","",""
"68","便秘","@","@","@","@","@","","@"
"69","大便不成形","","","","@","@","","@"
"70","便溏不净","","","","@","@","",""
"71","经期头痛","@","","@","","@","@","@"
"72","月经量少","@","@","","","@","","@"
"73","经期时长","@","@","@","@","@","","@"
"74","经期推后","@","@","","","@","","@"
"75","月经有血块","@","","@","@","@","@","@"
"76","乳腺增生","","@","@","@","@","","@"
"77","经期腰痛","@","@","","","@","@",""
"78","经期提前","@","","@","","","","@"
"79","月经量多","","","@","","","","@"
"80","不爱说话","@","","","","","","@"
"81","恶心","@","","@","","","","@"
"82","胃胀","@","","","","@","","@"
"83","胃酸","@","","","","@","","@"
"84","胃痛","@","","","","@","@","@"
"85","消化不良","@","","","@","@","","@"
"86","肥胖","","","","@","@","","@"
"87","皮肤痒","@","@","@","","@","@",""
"88","湿疹","@","@","","","@","@",""
"89","各种过敏","@","","@","","@","@",""
"90","痤疮","","@","@","@","","@","@"
"91","脂肪瘤","","","","@","@","@",""
"92","身体异味","","@","@","@","","",""
"93","淋巴肿大","","@","@","","@","@","@"
"94","黑痣变大变多","","","@","","","@",""
"95","形体消瘦","@","","","","","@","@"
